Timestamp,Kaupunki,Ikä,Sukupuoli,Työkokemus,Työsuhteen luonne,Työaika,Rooli,Etä,Kuukausipalkka,Vuositulot,Kilpailukykyinen,Työpaikka,Vapaa sana,Kk-tulot
2021-02-15 12:42:32.695,Turku,26-30 v,mies,6.0,Työntekijä / palkollinen,1.0,Pilviarkkitehti,Etä,5700,82000,True,,,6833.333333333333
2021-02-15 12:43:08.377,PK-Seutu,21-25 v,mies,3.0,Työntekijä / palkollinen,1.0,Ohjelmistokehittäjä,Toimisto,4150,51875,True,,,4322.916666666667
2021-02-15 12:43:19.612,PK-Seutu,31-35 v,mies,11.0,Työntekijä / palkollinen,1.0,Arkkitehti,Etä,4720,60000,False,,,5000.0
2021-02-15 12:43:58.055,Turku,31-35 v,mies,13.0,Työntekijä / palkollinen,1.0,Full-stack,Etä,4500,56000,True,,,4666.666666666667
2021-02-15 12:44:25.743,Tampere,41-45 v,,23.0,Työntekijä / palkollinen,0.8,"arkkitehti, full-stack-kehittäjä",Toimisto,4275,68900,True,,"Työskentelen toimistolla, koska täällä ei ole ketään muita. Työnantajan puolesta voisin työskennellä myös kotoa.",5741.666666666667
2021-02-15 12:48:49.507,PK-Seutu,31-35 v,mies,10.0,Yrittäjä,1.0,CIO,Etä,5000,62500,False,,,5208.333333333333
2021-02-15 12:51:09.752,PK-Seutu,31-35 v,mies,8.0,Työntekijä / palkollinen,1.0,Senior Software Developer,Toimisto,5200,68000,False,,,5666.666666666667
2021-02-15 12:52:03.466,Tampere,26-30 v,mies,4.0,Työntekijä / palkollinen,1.0,full-stack ohjelmistokehittäjä,Etä,4200,52000.0,True,,,4333.333333333333
2021-02-15 12:53:08.501,PK-Seutu,36-40 v,nainen,12.0,Työntekijä / palkollinen,1.0,UX-suunnittelija,Toimisto,3800,47500.0,False,Gofore,,3958.3333333333335
2021-02-15 12:53:44.671,Tampere,31-35 v,mies,10.0,Työntekijä / palkollinen,1.0,cloud specialist,Etä,5200,65000,True,Gofore,,5416.666666666667
2021-02-15 12:55:35.585,Tampere,26-30 v,mies,5.0,Työntekijä / palkollinen,1.0,full-stack,Etä,4000,48000,False,,,4000.0
2021-02-15 12:55:46.180,Tampere,26-30 v,mies,8.0,Yrittäjä,1.0,full-stack ohjelmistokehittäjä,50/50,,120000,True,,,10000.0
2021-02-15 12:56:03.940,Tampere,26-30 v,mies,5.0,Työntekijä / palkollinen,1.0,"Full-stack devaaja, milloin mitäkin",Etä,4200,58500,True,Futurice,,4875.0
2021-02-15 12:56:48.024,PK-Seutu,36-40 v,mies,15.0,Työntekijä / palkollinen,1.0,full-stack,Etä,7000,80000,True,Compile Oy,,6666.666666666667
2021-02-15 12:58:32.033,Tampere,31-35 v,mies,11.0,Työntekijä / palkollinen,1.0,Full-stack kehittäjä,50/50,4350,54375,,,,4531.25
2021-02-15 12:58:33.789,PK-Seutu,26-30 v,mies,5.0,Työntekijä / palkollinen,1.0,devops guy,50/50,4000,~62k,True,Gofore,,
2021-02-15 12:59:48.398,PK-Seutu,31-35 v,nainen,10.0,Työntekijä / palkollinen,1.0,"ohjelmistokehittäjä, senior, full-stack",Toimisto,4600,57500,True,Gofore,,4791.666666666667
2021-02-15 13:00:45.598,Etelä-Karjala,36-40 v,mies,15.0,Työntekijä / palkollinen,1.0,Arkkitehti,Etä,6200,78000,True,,,6500.0
2021-02-15 13:02:16.724,PK-Seutu,41-45 v,mies,11.0,Työntekijä / palkollinen,1.0,Cloud architext,50/50,5800,75000,True,,,6250.0
2021-02-15 13:02:46.039,PK-Seutu,46-50 v,mies,20.0,Työntekijä / palkollinen,1.0,,Etä,4500,54000,False,,,4500.0
2021-02-15 13:03:31.283,PK-Seutu,26-30 v,mies,2.0,Työntekijä / palkollinen,1.0,Ohjelmistokehittäjä,Etä,3500,43750,False,Gofore,,3645.8333333333335
2021-02-15 13:06:30.072,PK-Seutu,26-30 v,nainen,2.0,Työntekijä / palkollinen,0.8,ohjelmistokehittäjä,Etä,2465,35000,False,,,2916.6666666666665
2021-02-15 13:07:30.718,PK-Seutu,36-40 v,mies,12.0,Työntekijä / palkollinen,1.0,Ohjelmistokehittäjä,50/50,4200,52500,False,,,4375.0
2021-02-15 13:08:06.173,PK-Seutu,26-30 v,mies,3.0,Työntekijä / palkollinen,1.0,Testiautomaatiokonsultti,Etä,4450,60000,True,,,5000.0
2021-02-15 13:08:06.718,Turku,31-35 v,mies,10.0,Työntekijä / palkollinen,1.0,full-stack,50/50,4800,72000,False,,,6000.0
2021-02-15 13:13:21.610,Tampere,36-40 v,mies,11.0,Työntekijä / palkollinen,1.0,"Ohjelmistokehittäjä, full-stack",50/50,4250,53200,False,,,4433.333333333333
2021-02-15 13:13:37.177,Tampere,36-40 v,mies,9.0,Työntekijä / palkollinen,1.0,Ohjelmistoarkkitehti,Toimisto,5300,67000,True,,,5583.333333333333
2021-02-15 13:14:13.044,PK-Seutu,21-25 v,mies,4.0,Työntekijä / palkollinen,1.0,Full-stack kehittäjä,Etä,4300,58000,,,,4833.333333333333
2021-02-15 13:14:16.406,PK-Seutu,26-30 v,mies,3.0,Työntekijä / palkollinen,0.8,Full-stack developer,Toimisto,3040,38000.0,True,,,3166.6666666666665
2021-02-15 13:15:10.425,Turku,31-35 v,mies,6.0,Työntekijä / palkollinen,1.0,Full-stack,Toimisto,3900,54000,True,,,4500.0
2021-02-15 13:15:40.634,Tampere,41-45 v,muu,19.0,Työntekijä / palkollinen,1.0,Ohjelmistokehittäjä,50/50,4500,56000,False,,,4666.666666666667
2021-02-15 13:15:56.341,Tampere,26-30 v,mies,3.0,Freelancer,,Software Engineer,Etä,,125000,True,,,10416.666666666666
2021-02-15 13:16:03.520,Turku,21-25 v,mies,2.0,Työntekijä / palkollinen,1.0,Ohjelmistokehittäjä,Toimisto,3350,44000,True,,,3666.6666666666665
2021-02-15 13:17:43.708,PK-Seutu,21-25 v,mies,2.0,Työntekijä / palkollinen,1.0,Ohjelmistokehittäjä,Etä,3300,41250.0,True,Eficode,,3437.5
2021-02-15 13:21:34.755,Turku,31-35 v,mies,8.0,Työntekijä / palkollinen,1.0,full-stack,Toimisto,5500,68000,True,,,5666.666666666667
2021-02-15 13:22:09.687,PK-Seutu,26-30 v,mies,4.0,Työntekijä / palkollinen,1.0,ohjelmistokehittäjä,50/50,3970,48900,True,cgi,,4075.0
2021-02-15 13:22:45.689,PK-Seutu,21-25 v,mies,6.0,Työntekijä / palkollinen,1.0,Senior software designer,Toimisto,5000,66000,True,Gofore,,5500.0
2021-02-15 13:23:10.782,Turku,26-30 v,mies,1.0,Työntekijä / palkollinen,1.0,Full-stack developer,Toimisto,3160,40000,False,,,3333.3333333333335
2021-02-15 13:24:01.657,,31-35 v,mies,10.0,Työntekijä / palkollinen,1.0,Johtaja,50/50,6200,80000,True,,,6666.666666666667
2021-02-15 13:25:32.016,PK-Seutu,26-30 v,mies,4.0,Työntekijä / palkollinen,1.0,ohjelmistokehittäjä (full-stack) & rekrymarkkinointi,Toimisto,4100,51200,True,,"palkan lisäksi kompensaatioon kuuluu varsin runsas ja suomen it-alalla uniikki etupaketti. pelkkä palkka ei välttämättä ole kilpailukykyinen, mutta koko kompensaatio yleisesti työstäni on ehdottomasti kilpailukykyinen. ",4266.666666666667
2021-02-15 13:29:23.991,PK-Seutu,26-30 v,mies,11.0,Työntekijä / palkollinen,1.0,Full-stack dev konsultti,Toimisto,4850,60000,True,,,5000.0
2021-02-15 13:30:00.797,PK-Seutu,31-35 v,,10.0,Työntekijä / palkollinen,1.0,Full-stack,50/50,6800,85000,True,,,7083.333333333333
2021-02-15 13:30:26.518,Tampere,41-45 v,mies,21.0,Työntekijä / palkollinen,1.0,Arkkitehti,50/50,6500,90000,True,,,7500.0
2021-02-15 13:30:30.356,Tampere,36-40 v,mies,9.0,Työntekijä / palkollinen,1.0,Ohjelmistokehittäjä,Toimisto,4150,51875.0,False,,,4322.916666666667
2021-02-15 13:30:38.661,PK-Seutu,46-50 v,mies,20.0,Työntekijä / palkollinen,1.0,"full-stack-kehittäjä, arkkitehti",Toimisto,6600,85000,True,,,7083.333333333333
2021-02-15 13:34:11.117,PK-Seutu,31-35 v,mies,11.0,Työntekijä / palkollinen,1.0,ohjelmistokehittäjä / -arkkitehti,50/50,6000,75000,True,UpCloud,,6250.0
2021-02-15 13:34:46.354,PK-Seutu,41-45 v,mies,25.0,Työntekijä / palkollinen,1.0,seniori automaatio säätäjä,50/50,5800,70000,True,,,5833.333333333333
2021-02-15 13:45:44.288,PK-Seutu,31-35 v,mies,7.0,Työntekijä / palkollinen,1.0,"ohjelmistkoehittäjä, full-stack",Toimisto,4700,58750,False,,,4895.833333333333
2021-02-15 13:49:32.413,Jyväskylä,31-35 v,mies,10.0,Työntekijä / palkollinen,1.0,Lead developer,Etä,6200,77500,True,,,6458.333333333333
2021-02-15 13:50:12.857,PK-Seutu,26-30 v,mies,4.0,Työntekijä / palkollinen,1.0,Full-stack ohjelmistokehittäjä,50/50,4800,65000,True,,,5416.666666666667
2021-02-15 13:50:16.354,Tampere,36-40 v,mies,14.0,Työntekijä / palkollinen,1.0,cloud specialist,Toimisto,4860,60750.0,True,Gofore Oyj,,5062.5
2021-02-15 13:52:09.605,PK-Seutu,31-35 v,mies,12.0,Työntekijä / palkollinen,1.0,Dev lead,Toimisto,5100,75000,True,,,6250.0
2021-02-15 13:55:05.335,PK-Seutu,31-35 v,mies,7.0,Työntekijä / palkollinen,1.0,Infra/pilvi/SRE,Toimisto,5500,68750,False,Startup,"Rahapalkan päälle tulee vielä kohtuullinen optiopotti, mutta se toki on lähinnä arpalippu",5729.166666666667
2021-02-15 13:57:27.216,PK-Seutu,26-30 v,mies,7.0,Työntekijä / palkollinen,1.0,ohjelmistokehittäjä (full-stack),Toimisto,5250,68000,True,,,5666.666666666667
2021-02-15 13:57:59.009,Turku,21-25 v,mies,1.0,Työntekijä / palkollinen,1.0,"QA testaaja, tuki",Etä,2600,"2600*12,5",False,,,
2021-02-15 13:58:15.757,PK-Seutu,31-35 v,nainen,5.0,Työntekijä / palkollinen,1.0,Ohjelmistokehittäjä (mobile),Etä,2000-3400,32600,False,Qvik,,2716.6666666666665
2021-02-15 14:01:11.881,PK-Seutu,31-35 v,mies,7.0,Työntekijä / palkollinen,1.0,ohjelmistokehittäjä,Toimisto,5800,72500,False,,,6041.666666666667
2021-02-15 14:01:39.717,PK-Seutu,31-35 v,mies,9.0,Työntekijä / palkollinen,1.0,Ohjelmistokehittäjä,50/50,5800,85000,True,,,7083.333333333333
2021-02-15 14:05:02.322,Turku,36-40 v,mies,11.0,Työntekijä / palkollinen,1.0,Full stack ohjelmistokehittäjä,Etä,,~80000,True,Arado,Osittain laskutukseen perustuva palkka joten vaihtelee.,
2021-02-15 14:06:35.711,PK-Seutu,31-35 v,mies,16.0,Työntekijä / palkollinen,1.0,"Frontend, full-stack",Toimisto,4000,50000,True,Exove,,4166.666666666667
2021-02-15 14:09:17.189,PK-Seutu,36-40 v,mies,15.0,Työntekijä / palkollinen,1.0,Ohjelmistokehittäjä,Toimisto,6000,75000.0,True,,,6250.0
2021-02-15 14:10:49.790,PK-Seutu,31-35 v,mies,6.0,Työntekijä / palkollinen,1.0,Mobiili,Toimisto,5300,66250.0,True,,,5520.833333333333
2021-02-15 14:15:41.077,PK-Seutu,26-30 v,mies,2.0,Työntekijä / palkollinen,1.0,Ohjelmistokehittäjä,Toimisto,3000,37500,False,,,3125.0
2021-02-15 14:19:09.232,PK-Seutu,26-30 v,mies,5.0,Työntekijä / palkollinen,1.0,Ohjelmistokehittäjä,50/50,4250, ,True,,,
2021-02-15 14:20:49.654,Oulu,31-35 v,mies,12.0,Työntekijä / palkollinen,1.0,Senior Fullstack Developer,Etä,5500,70000,True,,,5833.333333333333
2021-02-15 14:21:09.913,Turku,41-45 v,mies,18.0,Työntekijä / palkollinen,1.0,Arkkitehti,Toimisto,5500,70000,True,,,5833.333333333333
2021-02-15 14:22:40.310,PK-Seutu,26-30 v,mies,11.0,Työntekijä / palkollinen,1.0,Senior Software Engineer,Toimisto,4500,59000,True,Verkkokauppa.com Oyj,,4916.666666666667
2021-02-15 14:24:31.881,PK-Seutu,36-40 v,mies,7.0,Työntekijä / palkollinen,1.0,Senior developer,Etä,4750,59375.0,True,,,4947.916666666667
2021-02-15 14:25:30.621,Wien,31-35 v,mies,12.0,Yrittäjä,,"Konsultoiva ohjelmistokehittäjä, kirjailija ja tapahtumanjärjestäjä",Etä,1666,50000,True,SurviveJS Oy,,4166.666666666667
2021-02-15 14:25:52.331,PK-Seutu,36-40 v,mies,13.0,Yrittäjä,,Full-stack developer,Etä,,160000 (sis ALV 24%),True,,,
2021-02-15 14:25:59.823,Tampere,31-35 v,,10.0,Työntekijä / palkollinen,1.0,Full-stack ohjelmistokehittäjä,Toimisto,4150,51875,True,,,4322.916666666667
2021-02-15 14:26:58.280,Tampere,36-40 v,mies,11.0,Työntekijä / palkollinen,0.8,full-stack,Toimisto,3360,42000,False,,,3500.0
2021-02-15 14:27:34.224,Oulu,31-35 v,mies,5.0,Työntekijä / palkollinen,1.0,ohjelmistokehittäjä,Etä,3200,42000,False,Bittium,,3500.0
2021-02-15 14:29:25.841,Oulu,36-40 v,mies,12.0,Työntekijä / palkollinen,1.0,Mobile developer,Etä,5040,66000,True,,,5500.0
2021-02-15 14:29:51.032,PK-Seutu,21-25 v,,4.0,Työntekijä / palkollinen,1.0,Cloud Specialist,50/50,3800,47500,,,,3958.3333333333335
2021-02-15 14:30:19.115,PK-Seutu,36-40 v,mies,12.0,Työntekijä / palkollinen,1.0,Arkkitehti,Toimisto,6956,86950,True,,,7245.833333333333
2021-02-15 14:30:30.341,PK-Seutu,26-30 v,mies,5.0,Työntekijä / palkollinen,1.0,Frontend-ohjelmistokehittäjä (mobiili),Toimisto,4000,53000,,Qvik,,4416.666666666667
2021-02-15 14:32:07.627,PK-Seutu,41-45 v,mies,16.0,Työntekijä / palkollinen,1.0,sr data scientist,Toimisto,5750,72000,True,,,6000.0
2021-02-15 14:32:39.740,Tampere,41-45 v,mies,21.0,Työntekijä / palkollinen,1.0,arkkitehti,Etä,6300,79000,False,,,6583.333333333333
2021-02-15 14:33:41.985,PK-Seutu,36-40 v,mies,15.0,Työntekijä / palkollinen,1.0,full-stack,Toimisto,6000,75000,True,,,6250.0
2021-02-15 14:36:17.551,Jyväskylä,26-30 v,mies,5.0,Työntekijä / palkollinen,1.0,ohjelmistokehittäjä,50/50,3264,40000,False,,,3333.3333333333335
2021-02-15 14:37:09.635,Tampere,36-40 v,mies,9.0,Työntekijä / palkollinen,1.0,DevSecOps specialist,Toimisto,5060,7500,True,,,625.0
2021-02-15 14:38:38.320,PK-Seutu,36-40 v,mies,10.0,Työntekijä / palkollinen,1.0,Po,Etä,5000,62000,False,,,5166.666666666667
2021-02-15 14:40:58.947,Oulu,26-30 v,mies,5.0,Työntekijä / palkollinen,1.0,Scrum Master,Toimisto,4000,50000,True,,,4166.666666666667
2021-02-15 14:44:20.196,PK-Seutu,31-35 v,mies,13.0,Freelancer,,full-stack kehittäjä,Etä,,186000 ALV24%,True,,,
2021-02-15 14:44:32.506,PK-Seutu,26-30 v,mies,4.0,Työntekijä / palkollinen,1.0,Mobiilikehittäjä,Etä,4400,55000,True,,,4583.333333333333
2021-02-15 14:45:29.087,PK-Seutu,41-45 v,mies,20.0,Yrittäjä,1.0,cto,Etä,5000,75000,True,,,6250.0
2021-02-15 14:46:11.468,PK-Seutu,36-40 v,mies,11.0,Freelancer,1.0,ohjelmistokehittäjä,Toimisto,,140000,True,,,11666.666666666666
2021-02-15 14:50:02.057,Turku,31-35 v,mies,10.0,Työntekijä / palkollinen,1.0,DevOps,Etä,3500,43750,False,,,3645.8333333333335
2021-02-15 14:52:45.276,Tampere,26-30 v,mies,5.0,Freelancer,1.0," ohjelmistokehittäjä (full-stack, web)",Etä,,72000,True,,,6000.0
2021-02-15 14:56:33.148,PK-Seutu,36-40 v,,16.0,Työntekijä / palkollinen,1.0,,50/50,5900,79000,,,,6583.333333333333
2021-02-15 14:56:52.794,PK-Seutu,36-40 v,mies,12.0,Työntekijä / palkollinen,0.8,Full-stack,Etä,4000,48000,False,,,4000.0
2021-02-15 14:58:35.257,PK-Seutu,26-30 v,mies,5.0,Työntekijä / palkollinen,1.0,DevOps,Toimisto,4900,61250,True,,,5104.166666666667
2021-02-15 15:00:21.076,PK-Seutu,41-45 v,mies,20.0,Työntekijä / palkollinen,1.0,Ohjelmistokehittäjä,50/50,4000,54000,False,,"Olen osakkaana startupissa, 5% osuus on osa kokonaiskompensaatiota. Edellisessä työssä bruttopalkka oli 6000 euroa kuukaudessa.",4500.0
2021-02-15 15:01:02.084,PK-Seutu,31-35 v,,7.0,Työntekijä / palkollinen,1.0,Ohjelmistokehittäjä,Toimisto,4888,6100,True,Valtio,,508.3333333333333
2021-02-15 15:01:24.421,PK-Seutu,26-30 v,mies,5.0,Työntekijä / palkollinen,1.0,,50/50,3340,41750,False,Kela,,3479.1666666666665
2021-02-15 15:04:02.341,PK-Seutu,31-35 v,,7.0,Työntekijä / palkollinen,1.0,full-stack kehittäjä,Toimisto,5500,68750.0,True,,,5729.166666666667
